,Theta,Ln Like,Nu1,Nu2,T,M
Replicate20,20.63948453,-261.6874568,3.66154839,5.06164526,11.03224506,0.01898968
Replicate19,23.30446814,-261.7369508,3.24395627,4.47451642,9.66218391,0.02142034
Replicate18,19.54905114,-261.6694785,3.86310148,5.33852779,11.72177039,0.01799092
Replicate17,16.78466146,-261.6614802,4.53695869,6.22336668,13.72038996,0.01498788
Replicate16,15.45810483,-261.6196098,4.87E+00,6.74E+00,1.51E+01,1.43E-02
Replicate15,18.90166175,-261.6672655,4.01404324,5.52831361,12.10062059,0.01712591
Replicate14,16.19294056,-261.6364829,4.65363898,6.4274618,14.4272529,0.01517433
Replicate13,21.08734299,-261.6949074,3.58623438,4.94772852,10.78125298,0.01938453
Replicate12,19.82944779,-261.6740145,3.81155525,5.26218034,11.5366344,0.01830175
Replicate11,19.93720519,-261.6755486,3.79447602,5.22859079,11.46950744,0.01838038
Replicate10,16.8634724,-261.6472374,4.51416265,6.18162325,13.68006708,0.01519904
Replicate9,19.37481538,-261.6664218,3.9077547,5.38012862,11.82566798,0.01783072
Replicate8,18.44703795,-261.6533018,4.0982308,5.67130485,12.44859453,0.01688573
Replicate7,21.82836649,-261.7251251,3.47752812,4.77059134,10.3711133,0.02043195
Replicate6,20.16814617,-261.7292049,3.75697229,5.18530619,11.31762726,0.01851167
Replicate5,17.19243811,-261.6393506,4.42337468,6.06635544,13.40882881,0.01578773
Replicate4,16.48979284,-261.6486716,4.56320866,6.30172913,14.18301588,0.01550328
Replicate3,20.31154438,-261.6840395,3.73210163,5.1220531,11.23773946,0.0185792
Replicate2,18.99003406,-261.6791842,3.94041749,5.53392397,12.11216568,0.01748977
Replicate1,12.92171387,-261.5881923,5.85E+00,8.06E+00,1.83E+01,1.19E-02
