,Theta,Ln Like,Nu1,Nu2,T,M
Replicate20,63.45180268,-471.4662688,1.74079818,2.35449828,4.25656335,0.1140683
Replicate19,60.73683061,-471.4187577,1.82016677,2.45994836,4.49562626,0.10955463
Replicate18,54.43685142,-471.3236676,2.02924823,2.74932408,5.14271447,0.09795673
Replicate17,70.61959565,-471.6217999,1.55094089,2.11489788,3.73780795,0.12709032
Replicate16,20.55999362,-471.0772641,5.39967883,7.27602858,15.36168083,0.03718052
Replicate15,74.97642472,-471.7263599,1.47401172,1.99247052,3.41647811,0.13456462
Replicate14,33.05342471,-471.1256014,3.34863685,4.53699482,9.15315874,0.05955868
Replicate13,22.23899289,-471.0783901,4.98751135,6.73739824,14.10813405,0.04004817
Replicate12,16.43203189,-495.2127557,6.4519312,9.93847867,18.84588524,0.04433024
Replicate11,16.29426686,-473.0245787,6.36063069,9.96296139,19.16121064,0.0306305
Replicate10,50.32582448,-471.2751525,2.19720428,2.9832336,5.62931343,0.09018335
Replicate9,32.67222733,-471.1450118,3.40986592,4.61209467,9.16721908,0.05819761
Replicate8,58.56117858,-471.4619794,1.90408779,2.58168084,4.59869155,0.10364637
Replicate7,16.37045538,-483.142078,6.9322335,9.04205407,19.67146087,0.03979827
Replicate6,74.38800452,-471.7098383,1.4833304,2.01018245,3.45540962,0.13415721
Replicate5,53.65727939,-471.3148798,2.05875496,2.79501411,5.22156573,0.09655378
Replicate4,48.42701382,-471.251891,2.2890924,3.09436617,5.89348574,0.08699775
Replicate3,48.99894321,-471.2569558,2.25814756,3.05812076,5.8223851,0.08812323
Replicate2,56.0190316,-471.3502549,1.97543012,2.67894054,4.94018689,0.10044511
Replicate1,45.30348152,-471.2364806,2.45336018,3.32468676,6.32350643,0.08083924
