,Theta,Ln Like,Nu1,Nu2,T,M
Replicate,38.21387094,-433.5494654,3.57857957,2.54587216,9.97929119,0.02209856
Replicate19,40.21258396,-433.6171663,3.40784063,2.43031767,9.40335834,0.02329232
Replicate18,38.52559545,-433.5954043,3.55367107,2.52809679,9.89165215,0.02226199
Replicate17,37.83756509,-433.5894438,3.61922693,2.57364253,10.08990094,0.02187991
Replicate16,38.3647949,-433.5935478,3.56874307,2.53879503,9.93684207,0.02216926
Replicate15,20.15825393,-434.9130411,6.61E+00,5.19E+00,1.94E+01,1.23E-02
Replicate14,38.97016217,-433.5994937,3.5130122,2.49932006,9.7668272,0.02251801
Replicate13,21.2451791,-433.4863438,6.45E+00,4.59E+00,1.87E+01,1.22E-02
Replicate12,19.03233478,-449.6922119,6.72E+00,6.09E+00,2.00E+01,1.49E-02
Replicate11,22.54514145,-433.4917772,6.08E+00,4.33E+00,1.76E+01,1.30E-02
Replicate10,38.22530017,-433.5927122,3.58168426,2.54763078,9.97827952,0.0220871
Replicate9,18.79214218,-436.9224844,7.92E+00,5.23E+00,1.97E+01,8.92E-03
Replicate8,20.11743218,-433.4814309,6.81E+00,4.84E+00,1.99E+01,1.16E-02
Replicate7,35.61832413,-433.5805017,3.83398944,2.72279534,10.84128207,0.02065398
Replicate6,31.15666795,-433.5386766,4.39993557,3.12959028,12.45634282,0.01799705
Replicate5,23.00905409,-549.7154828,8.44203234,4.2631597,12.8518462,0.02866035
Replicate4,38.25849505,-433.5929108,3.57898526,2.54629698,9.96479357,0.02207309
Replicate3,38.33746635,-433.5936173,3.57148658,2.5400533,9.94572519,0.02215738
Replicate2,35.45696509,-433.5693914,3.86030109,2.74811678,10.83830933,0.02050246
Replicate1,18.72932912,-441.7190996,7.96E+00,5.82E+00,1.85E+01,9.63E-03
