,Theta,Ln Like,Nu1,Nu2,T,M
Replicate20,14.78691633,-243.4651811,3.74930359,6.22566929,14.60057777,0.014896
Replicate19,13.36677602,-243.4745286,4.16E+00,6.90E+00,1.62E+01,1.34E-02
Replicate18,14.09733743,-243.4820789,3.94E+00,6.54E+00,1.54E+01,1.42E-02
Replicate17,15.15646321,-243.493987,3.66035012,6.08202564,14.22471497,0.01526209
Replicate16,15.45398155,-243.49749,3.5920402,5.96667239,13.92184963,0.01555482
Replicate15,11.33916611,-243.456185,4.90E+00,8.14E+00,1.93E+01,1.14E-02
Replicate14,15.45381672,-243.4974899,3.59207066,5.96674288,13.92201579,0.01555465
Replicate13,12.82316143,-257.6468048,4.19172859,9.91745203,13.26755589,0.01390707
Replicate12,15.68149107,-243.5001902,3.5399027,5.8802866,13.70450324,0.01578397
Replicate11,15.45402173,-243.4974917,3.59202403,5.96666317,13.92181531,0.01555484
Replicate10,16.33074082,-243.5077235,3.3976374,5.6428186,13.12948478,0.01645056
Replicate9,14.44219342,-243.486037,3.84E+00,6.39E+00,1.50E+01,1.45E-02
Replicate8,19.51531983,-243.5551804,2.8388785,4.72446915,10.82133556,0.01959558
Replicate7,15.33478447,-243.4958804,3.620386,6.01285042,14.037485,0.01543636
Replicate6,14.56031846,-243.4871952,3.82E+00,6.33E+00,1.48E+01,1.47E-02
Replicate5,9.032087727,-266.3919527,8.63E+00,9.90E+00,1.98E+01,9.89E-03
Replicate4,15.44799669,-243.4974256,3.59348436,5.96892986,13.92758738,0.01554777
Replicate3,14.67607272,-243.4879434,3.78130751,6.2826994,14.71819659,0.01477617
Replicate2,15.21525076,-243.4948972,3.64029656,6.07234866,14.15466577,0.01533908
Replicate1,15.4536281,-243.497488,3.5921175,5.96680818,13.9222039,0.01555441
