,Theta,Ln Like,Nu1,Nu2,T,M
Replicate20,113.6143404,-488.8496239,0.72947222,0.91610938,1.75225489,0
Replicate19,157.7959534,-331.9940788,0.74260997,0.376893,0.70043959,0
Replicate18,83.79255025,-428.574925,2.26444242,0.85766817,1.13717863,0
Replicate17,79.69372856,-755.9384406,11.11979189,0.40919142,0.43760275,0
Replicate16,79.12996178,-393.8881026,2.02650381,0.94377687,1.5986533,0
Replicate15,66.99310839,-458.0783895,1.60248995,2.04801894,2.38012676,0
Replicate14,82.13076843,-476.4533553,1.53269016,1.74806992,1.36903633,0
Replicate13,90.19978138,-396.8820956,1.82327525,0.8462467,1.18874329,0
Replicate12,108.5277335,-466.0033709,1.07634148,1.24896062,0.89085857,0
Replicate11,131.71246,-369.0053657,0.94398918,0.63189696,0.74698517,0
Replicate10,113.8929753,-657.1438088,0.45354552,1.99237041,1.24084483,0
Replicate9,148.7033724,-657.7832916,0.53915282,1.39022574,0.39210614,0
Replicate8,110.2188742,-513.9064343,0.68844167,1.11732061,1.74659897,0
Replicate7,99.9658374,-418.1000552,1.71228333,0.75997857,0.89478873,0
Replicate6,117.2437058,-426.4127111,0.86514144,0.67655401,1.5849249,0
Replicate5,76.3650956,-536.713348,1.84978416,2.00325554,1.30579454,0
Replicate4,117.7242266,-533.7222797,0.74642432,1.66564882,0.77752511,0
Replicate3,144.941969,-367.4145485,1.10780972,0.23672876,0.59343568,0
Replicate2,73.0225774,-402.4918881,2.00649723,1.17890961,1.92046502,0
Replicate1,129.8005669,-410.9136593,1.18744106,0.52822769,0.56561888,0
